the_geom,MainStreet,CrossStree,Install_Da,LONG,LAT,X,Y
POINT (-74.0212160564291 40.61847166417737),86 Street,7 Avenue,06/04/2020 12:00:00 AM,-74.0212160564,40.6184716642,978360.000285,164603.00024
POINT (-74.01832673649814 40.61672647292833),86 Street,11 Avenue,06/04/2020 12:00:00 AM,-74.0183267365,40.6167264729,979161.999993,163967.0002
POINT (-74.01611841499845 40.61538459999361),86 Street,12 Avenue,06/04/2020 12:00:00 AM,-74.016118415,40.6153846,979775.00008,163478.000194
POINT (-74.01390658276848 40.61405366403936),86 Street,13 Avenue,06/04/2020 12:00:00 AM,-74.0139065828,40.614053664,980389.000164,162993.000179
POINT (-74.01171284931088 40.61273366266546),86 Street,14 Avenue,06/04/2020 12:00:00 AM,-74.0117128493,40.6127336627,980998.000258,162512.000157
POINT (-73.99825336988619 40.60460965296988),86 Street,20 Avenue,06/04/2020 12:00:00 AM,-73.9982533699,40.604609653,984735.000002,159552.000172
POINT (-73.98939502455343 40.59925407817619),86 Street,24 Avenue,06/04/2020 12:00:00 AM,-73.9893950246,40.5992540782,987195.000004,157601.000137
POINT (-73.98719146078633 40.59792537153545),86 Street,25 Avenue,06/04/2020 12:00:00 AM,-73.9871914608,40.5979253715,987807.000092,157117.00012
POINT (-73.98071090599448 40.59399665958251),86 Street,Avenue V,06/04/2020 12:00:00 AM,-73.980710906,40.5939966596,989607.000101,155686.00003
POINT (-74.01097081817578 40.61228633446018),86 Street,Bay 7 Street,06/04/2020 12:00:00 AM,-74.0109708182,40.6122863345,981204.000175,162349.000155
POINT (-74.00567962966905 40.60909452181624),86 Street,Bay 14 Street,06/04/2020 12:00:00 AM,-74.0056796297,40.6090945218,982673.000189,161186.000184
POINT (-74.00411290154449 40.60814488957515),86 Street,Bay 16 Street,06/04/2020 12:00:00 AM,-74.0041129015,40.6081448896,983107.999975,160840.00022
POINT (-73.99971909441423 40.60548251108403),86 Street,Bay 22 Street,06/04/2020 12:00:00 AM,-73.9997190944,40.6054825111,984328.00016,159870.000192
POINT (-74.03910786585027 40.62537012019815),86 Street,Narrows Avenue,06/04/2020 12:00:00 AM,-74.0391078659,40.6253701202,973394.000047,167118.000131
POINT (-74.0407435587101 40.62568794812404),86 Street,Shore Road,06/04/2020 12:00:00 AM,-74.0407435587,40.6256879481,972939.99997,167234.000228
POINT (-73.97651335377181 40.59145144986228),86 Street,West 6 Street,06/04/2020 12:00:00 AM,-73.9765133538,40.5914514499,990773.000065,154759.000243
POINT (-73.98197815494797 40.594762664483675),86 Street,West 11 Street,06/04/2020 12:00:00 AM,-73.9819781549,40.5947626645,989255.000149,155965.000128
POINT (-73.93739008379052 40.69818696334864),Broadway,Belvidere Street,06/04/2020 12:00:00 AM,-73.9373900838,40.6981869633,1001611.00004,193651.000215
POINT (-73.96549164645118 40.710481642736724),Broadway,Berry Street,06/04/2020 12:00:00 AM,-73.9654916465,40.7104816427,993817.000211,198126.000123
POINT (-73.9100243779843 40.68265812135857),Broadway,Chauncey Street,06/04/2020 12:00:00 AM,-73.910024378,40.6826581214,1009205.00027,188000.000034
POINT (-73.91227253885108 40.683936177136225),Broadway,Decatur Street,06/04/2020 12:00:00 AM,-73.9122725389,40.6839361771,1008581.00021,188465.000088
POINT (-73.94545014963768 40.702761102114515),Broadway,Gerry Street,06/04/2020 12:00:00 AM,-73.9454501496,40.7027611021,999375.00025,195316.000166
POINT (-73.92556150287075 40.691490918418445),Broadway,Greene Avenue,06/04/2020 12:00:00 AM,-73.9255615029,40.6914909184,1004893.00004,191214.000168
POINT (-73.91679795796611 40.6864976666973),Broadway,Hancock Street,06/04/2020 12:00:00 AM,-73.916797958,40.6864976667,1007325.0001,189397.000193
